,sentence,target,target_type,category,polarity,opinin_Term
967,"Fabulous decor - makes you feel like you 're in a trendy Manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home ... ..very Soho /Village /Upper West Side minus the expensive prices and pretentious clientele ... ..all on Roosevelt Avenue !",decor,explicit,AMBIENCE GENERAL,positive,Fabulous
968,"Fabulous decor - makes you feel like you 're in a trendy Manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home ... ..very Soho /Village /Upper West Side minus the expensive prices and pretentious clientele ... ..all on Roosevelt Avenue !",food,explicit,FOOD QUALITY,positive,good
969,"Fabulous decor - makes you feel like you 're in a trendy Manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home ... ..very Soho /Village /Upper West Side minus the expensive prices and pretentious clientele ... ..all on Roosevelt Avenue !",food,explicit,FOOD PRICES,positive,cheaply-priced
970,"Fabulous decor - makes you feel like you 're in a trendy Manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home ... ..very Soho /Village /Upper West Side minus the expensive prices and pretentious clientele ... ..all on Roosevelt Avenue !",staff,explicit,SERVICE GENERAL,positive,friendly
971,"Fabulous decor - makes you feel like you 're in a trendy Manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home ... ..very Soho /Village /Upper West Side minus the expensive prices and pretentious clientele ... ..all on Roosevelt Avenue !",Rice Avenue,explicit,AMBIENCE GENERAL,positive,feel at home
972,"Fabulous decor - makes you feel like you 're in a trendy Manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home ... ..very Soho /Village /Upper West Side minus the expensive prices and pretentious clientele ... ..all on Roosevelt Avenue !",Rice Avenue,explicit,LOCATION GENERAL,positive,very Soho /Village /Upper West Side
973,"Fabulous decor - makes you feel like you 're in a trendy Manhattan restaurant , very very good food , cheaply-priced , generally friendly staff , and if you 're a Manhattanite , or spend most of your time in Manhattan , Rice Avenue will make you feel at home ... ..very Soho /Village /Upper West Side minus the expensive prices and pretentious clientele ... ..all on Roosevelt Avenue !",Rice Avenue,explicit,RESTAURANT PRICES,positive,minus the expensive prices
974,"Great food , great decor , great service .",food,explicit,FOOD QUALITY,positive,Great
975,"Great food , great decor , great service .",decor,explicit,AMBIENCE GENERAL,positive,great
976,"Great food , great decor , great service .",service,explicit,SERVICE GENERAL,positive,great
977,"They don't concern much of customer 's health , just want to make money .",NULL,implicit,RESTAURANT MISCELLANEOUS,negative,don't concern much
978,THIS STAFF SHOULD BE FIRED .,STAFF,explicit,SERVICE GENERAL,negative,FIRED
979,We will definitely go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
980,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else .,bagels,explicit,FOOD QUALITY,positive,better
981,"Excellent dumplings served amid clean , chic decor .",dumplings,explicit,FOOD QUALITY,positive,Excellent
982,"Excellent dumplings served amid clean , chic decor .",decor,explicit,AMBIENCE GENERAL,positive,clean
983,"Excellent dumplings served amid clean , chic decor .",decor,explicit,AMBIENCE GENERAL,positive,chic
984,"Their bagels are fine , but they are a little overcooked , and not really a 'special ' bagel experience .",bagels,explicit,FOOD QUALITY,negative,fine
985,"Their bagels are fine , but they are a little overcooked , and not really a 'special ' bagel experience .",bagels,explicit,FOOD QUALITY,negative,overcooked
986,Ravioli was good ... but I have to say that I found everything a bit overpriced .,Ravioli,explicit,FOOD QUALITY,positive,good
987,Ravioli was good ... but I have to say that I found everything a bit overpriced .,NULL,implicit,FOOD PRICES,negative,overpriced
988,I think the pizza is so overrated and was under cooked .,pizza,explicit,FOOD QUALITY,negative,overrated
989,"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great !",oyster binge,explicit,RESTAURANT GENERAL,positive,great
990,"The place is a bit hidden away , but once you get there , it's all worth it .",place,explicit,LOCATION GENERAL,neutral,hidden away
991,"The place is a bit hidden away , but once you get there , it's all worth it .",place,explicit,RESTAURANT GENERAL,positive,worth
992,"This is the perfect spot for meeting friends , having lunch , dinner , pre-theatre or after-theatre drinks !",spot,explicit,RESTAURANT MISCELLANEOUS,positive,perfect
993,"I came across Village Underground by accident , now I go there all the time .",Village Underground,explicit,RESTAURANT GENERAL,positive,go there all the time
994,"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",service,explicit,SERVICE GENERAL,negative,Rude
995,"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",food,explicit,FOOD QUALITY,neutral,medicore
996,"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",NULL,implicit,RESTAURANT GENERAL,negative,stay away
997,"I took one bite from the $ 24 salmon , and I have never , in the 17 years I have been going to restaurants tasted salmon as fishy , as dry , and as bland as the one in Flatbush Farms .",salmon,explicit,FOOD QUALITY,negative,fishy
998,"I took one bite from the $ 24 salmon , and I have never , in the 17 years I have been going to restaurants tasted salmon as fishy , as dry , and as bland as the one in Flatbush Farms .",salmon,explicit,FOOD QUALITY,negative,dry
999,"I took one bite from the $ 24 salmon , and I have never , in the 17 years I have been going to restaurants tasted salmon as fishy , as dry , and as bland as the one in Flatbush Farms .",salmon,explicit,FOOD QUALITY,negative,bland
1000,"I took one bite from the $ 24 salmon , and I have never , in the 17 years I have been going to restaurants tasted salmon as fishy , as dry , and as bland as the one in Flatbush Farms .",salmon,explicit,FOOD PRICES,negative,$ 24
1001,I felt as though I were eating in Paris .,NULL,implicit,FOOD QUALITY,positive,eating in Paris
1002,"My husbands was perfect , my was well done and dry .",NULL,implicit,FOOD QUALITY,positive,perfect
1003,"My husbands was perfect , my was well done and dry .",NULL,implicit,FOOD QUALITY,negative,well done
1004,"My husbands was perfect , my was well done and dry .",NULL,implicit,FOOD QUALITY,negative,dry
1005,Not impressed with the food .,food,explicit,FOOD QUALITY,negative,Not impressed
1006,"The pasta penne was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne ... got a little moody afterwards cause was stuffed ... lol",pasta penne,explicit,FOOD QUALITY,negative,extra buttery
1007,"The pasta penne was pretty extra buttery , creamy which means a big task to diggest . . tasty at first but i would say that i was full with a slice of pizza and 7 to count , penne ... got a little moody afterwards cause was stuffed ... lol",pasta penne,explicit,FOOD STYLE_OPTIONS,negative,moody
1008,great food,food,explicit,FOOD QUALITY,positive,great
1009,Saul is the best restaurant on Smith Street and in Brooklyn .,Saul,explicit,RESTAURANT GENERAL,positive,best
1010,First went here to enjoy their garden terrace .,garden terrace,explicit,AMBIENCE GENERAL,positive,enjoy
1011,I / we will never go back to this place again .,place,explicit,RESTAURANT GENERAL,negative,never go back
1012,sometimes i get good food and ok service .,food,explicit,FOOD QUALITY,positive,good
1013,sometimes i get good food and ok service .,service,explicit,SERVICE GENERAL,neutral,ok
1014,"Again , I 'd be super upset if that were my employee .",NULL,implicit,SERVICE GENERAL,negative,upset
1015,"Everything was wonderful ; food , drinks , staff , mileau .",food,explicit,FOOD QUALITY,positive,wonderful
1016,"Everything was wonderful ; food , drinks , staff , mileau .",drinks,explicit,DRINKS QUALITY,positive,wonderful
1017,"Everything was wonderful ; food , drinks , staff , mileau .",staff,explicit,SERVICE GENERAL,positive,wonderful
1018,"Everything was wonderful ; food , drinks , staff , mileau .",mileau,explicit,AMBIENCE GENERAL,positive,wonderful
1019,For a Fabulous Wedding !,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,Fabulous
1020,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",NULL,implicit,FOOD QUALITY,positive,perfection
1021,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service,explicit,SERVICE GENERAL,positive,excellent
1022,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor,explicit,AMBIENCE GENERAL,positive,cool
1023,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor,explicit,AMBIENCE GENERAL,positive,understated
1024,I have been going there since it opened and I ca n't get enough .,NULL,implicit,RESTAURANT GENERAL,positive,ca n't get enough
1025,delicious simple food in nice outdoor atmosphere .,food,explicit,FOOD QUALITY,positive,delicious simple
1026,delicious simple food in nice outdoor atmosphere .,food,explicit,FOOD STYLE_OPTIONS,positive,delicious simple
1027,delicious simple food in nice outdoor atmosphere .,outdoor atmosphere,explicit,AMBIENCE GENERAL,positive,nice
1028,We thought that this place is using too much of MSG cooking in the foods .,foods,explicit,FOOD QUALITY,negative,using too much of MSG
1029,Everyone was smiling so that made me feel welcome .,NULL,implicit,SERVICE GENERAL,positive,welcome
1030,Guaranteed to be a tasty experience ! ),NULL,implicit,DRINKS QUALITY,positive,tasty
1031,"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city .",Lucky Strike,explicit,RESTAURANT GENERAL,positive,best
1032,Highly recommended !,NULL,implicit,RESTAURANT GENERAL,positive,Highly recommended
1033,"The service varys from day to day- sometimes they 're very nice , and sometimes not .",service,explicit,SERVICE GENERAL,negative,varys
1034,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,ambience,explicit,AMBIENCE GENERAL,positive,correct
1035,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,staff,explicit,SERVICE GENERAL,positive,excellent
1036,The food was bland oily .,food,explicit,FOOD QUALITY,negative,bland oily
1037,Simply some good tasting Chinese food at incredible prices ...,Chinese food,explicit,FOOD QUALITY,positive,good tasting
1038,Simply some good tasting Chinese food at incredible prices ...,Chinese food,explicit,FOOD PRICES,positive,good tasting
1039,"My mom originally introduced me to this place , but even she ( being Indian ) feels the food can be somewhat over the top spicy and far too oily .",food,explicit,FOOD QUALITY,negative,spicy
1040,"Great service , great food .",service,explicit,SERVICE GENERAL,positive,Great
1041,"Great service , great food .",food,explicit,FOOD QUALITY,positive,great
1042,Warm and friendly in the winter and terrific outdoor seating in the warmer months .,NULL,implicit,AMBIENCE GENERAL,positive,Warm
1043,Warm and friendly in the winter and terrific outdoor seating in the warmer months .,NULL,implicit,AMBIENCE GENERAL,positive,friendly
1044,Warm and friendly in the winter and terrific outdoor seating in the warmer months .,outdoor seating,explicit,AMBIENCE GENERAL,positive,terrific
1045,Service friendly and attentive .,Service,explicit,SERVICE GENERAL,positive,friendly
1046,Service friendly and attentive .,Service,explicit,SERVICE GENERAL,positive,attentive
1047,"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",food,explicit,FOOD QUALITY,positive,above average
1048,"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",Teodora,explicit,RESTAURANT GENERAL,negative,deficiencies
1049,"The food arrived 20 minutes after I called , cold and soggy .",food,explicit,FOOD QUALITY,negative,cold
1050,"The food arrived 20 minutes after I called , cold and soggy .",food,explicit,FOOD QUALITY,negative,soggy
1051,"The food arrived 20 minutes after I called , cold and soggy .",NULL,implicit,SERVICE GENERAL,negative,20 minutes
1052,highly recommended .,NULL,implicit,RESTAURANT GENERAL,positive,highly recommended
1053,The staff was the friendliest that have seen in New York .,staff,explicit,SERVICE GENERAL,positive,friendliest
1054,The fish was not fresh and the rice tasted old and stale .,fish,explicit,FOOD QUALITY,negative,not fresh
1055,The fish was not fresh and the rice tasted old and stale .,rice,explicit,FOOD QUALITY,negative,old
1056,The fish was not fresh and the rice tasted old and stale .,rice,explicit,FOOD QUALITY,negative,stale
1057,Great Hot Dogs !,Hot Dogs,explicit,FOOD QUALITY,positive,Great
1058,"Food was okay , nothing great .",Food,explicit,FOOD QUALITY,neutral,okay
1059,"Food was okay , nothing great .",Food,explicit,FOOD QUALITY,neutral,nothing great
1060,"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL,implicit,FOOD QUALITY,positive,delicious
1061,"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL,implicit,AMBIENCE GENERAL,positive,perfect quiet
1062,"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL,implicit,AMBIENCE GENERAL,positive,relaxing
1063,"Even though the place is not beautiful , the food speaks for itself .",place,explicit,AMBIENCE GENERAL,negative,not beautiful
1064,"Even though the place is not beautiful , the food speaks for itself .",food,explicit,FOOD QUALITY,positive,speaks for itself
1065,My wife and I ate here earlier this week and have not stopped ranting and raving about the food .,food,explicit,FOOD QUALITY,positive,raving
1066,The wine list is also really nice .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,nice
1067,This is a wonderful place on all stand points especially value ofr money .,place,explicit,RESTAURANT PRICES,positive,wonderful
1068,This is a wonderful place on all stand points especially value ofr money .,place,explicit,RESTAURANT GENERAL,positive,wonderful
1069,"Great wine selection , Gigondas is worth the price , and the house champagne is a great value .",wine selection,explicit,DRINKS STYLE_OPTIONS,positive,Great
1070,"Great wine selection , Gigondas is worth the price , and the house champagne is a great value .",Gigondas,explicit,DRINKS QUALITY,positive,worth the price
1071,"Great wine selection , Gigondas is worth the price , and the house champagne is a great value .",house champagne,explicit,DRINKS PRICES,positive,great value
1072,The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing !,service,explicit,SERVICE GENERAL,positive,spectacular
1073,The service was spectacular as the waiter knew everything about the menu and his recommendations were amazing !,waiter,explicit,SERVICE GENERAL,positive,amazing
1074,Very cozy and warm inside ...,NULL,implicit,AMBIENCE GENERAL,positive,cozy
1075,Very cozy and warm inside ...,NULL,implicit,AMBIENCE GENERAL,positive,warm
1076,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna .,service,explicit,SERVICE GENERAL,positive,good
1077,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna .,staff,explicit,SERVICE GENERAL,positive,great
1078,it's delicious !,NULL,implicit,FOOD QUALITY,positive,delicious
1079,Excellent food for great prices,food,explicit,FOOD QUALITY,positive,Excellent
1080,Excellent food for great prices,food,explicit,FOOD PRICES,positive,Excellent
1081,The food tasted very good .,food,explicit,FOOD QUALITY,positive,good
1082,The wait staff is very courteous and accomodating .,wait staff,explicit,SERVICE GENERAL,positive,courteous
1083,This place is so much fun .,place,explicit,AMBIENCE GENERAL,positive,fun
1084,"With so many good restaurants on the UWS , I don't need overpriced food , absurdly arrogant wait-staff who don't recognize they work at a glorified diner , clumsy service , and management that does n't care .",food,explicit,FOOD PRICES,negative,overpriced
1085,"With so many good restaurants on the UWS , I don't need overpriced food , absurdly arrogant wait-staff who don't recognize they work at a glorified diner , clumsy service , and management that does n't care .",wait-staff,explicit,SERVICE GENERAL,negative,arrogant
1086,"With so many good restaurants on the UWS , I don't need overpriced food , absurdly arrogant wait-staff who don't recognize they work at a glorified diner , clumsy service , and management that does n't care .",service,explicit,SERVICE GENERAL,negative,clumsy
1087,"With so many good restaurants on the UWS , I don't need overpriced food , absurdly arrogant wait-staff who don't recognize they work at a glorified diner , clumsy service , and management that does n't care .",management,explicit,SERVICE GENERAL,negative,does n't care
1088,"So , I switch with my boyfriend again to see if maybe I could stomach the meat and spinach again , but the spinach was so undercooked that I just could not bite through it .",spinach,explicit,FOOD QUALITY,negative,undercooked
1089,It was $ 14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere !,NULL,implicit,FOOD PRICES,neutral,not really bad
1090,It was $ 14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere !,NULL,implicit,FOOD QUALITY,negative,didn't have much taste
1091,Not the typical NYC gimmick theme restaurant .,restaurant,explicit,AMBIENCE GENERAL,positive,Not the typical
1092,the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs,explicit,FOOD QUALITY,positive,juicy
1093,After really enjoying ourselves at the bar we sat down at a table and had dinner .,bar,explicit,RESTAURANT MISCELLANEOUS,positive,enjoying
1094,"Also , the sandwiches ( nearing $ 7 ) didn't come with anything like chips or a side .",sandwiches,explicit,FOOD STYLE_OPTIONS,negative,didn't come with
1095,"Also , the sandwiches ( nearing $ 7 ) didn't come with anything like chips or a side .",sandwiches,explicit,FOOD PRICES,negative,nearing $ 7 
1096,"Reliable , Fresh Sushi",Sushi,explicit,FOOD QUALITY,positive,Reliable
1097,Everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,atmosphere,explicit,AMBIENCE GENERAL,positive,raved
1098,Everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,rooms,explicit,AMBIENCE GENERAL,positive,elegant
1099,Everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,views,explicit,LOCATION GENERAL,positive,incomparable
1100,Everyone raved about the atmosphere ( elegant rooms and absolutely incomparable views ) and the fabulous food !,food,explicit,FOOD QUALITY,positive,fabulous
1101,A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,food,explicit,FOOD QUALITY,positive,great
1102,A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,service,explicit,SERVICE GENERAL,positive,great
1103,A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,atmosphere,explicit,AMBIENCE GENERAL,positive,pleasant
1104,I recently went to this restaurant with some co-workers for lunch and had an amazing time .,restaurant,explicit,RESTAURANT GENERAL,positive,amazing time
1105,Atmosphere is nice and relaxed too ...,Atmosphere,explicit,AMBIENCE GENERAL,positive,nice
1106,Atmosphere is nice and relaxed too ...,Atmosphere,explicit,AMBIENCE GENERAL,positive,relaxed
1107,Best Reuben sandwich ever !,Reuben sandwich,explicit,FOOD QUALITY,positive,Best
1108,The service was friendly and the atmosphere was casual .,service,explicit,SERVICE GENERAL,positive,friendly
1109,The service was friendly and the atmosphere was casual .,atmosphere,explicit,AMBIENCE GENERAL,neutral,casual
1110,"Paul , the maitre d ' , was totally professional and always on top of things .",Paul,explicit,SERVICE GENERAL,positive,professional
1111,"Overall the food quality was pretty good , though I hear the salmon is much better when it has n't sat cooling in front of the guest .",food,explicit,FOOD QUALITY,positive,good
1112,Tasty Dog !,Dog,explicit,FOOD QUALITY,positive,Tasty
1113,Problem is nothing at Prune is particularly memorable .,Prune,explicit,RESTAURANT GENERAL,negative,memorable
1114,the turkey burgers are scary !,turkey burgers,explicit,FOOD QUALITY,negative,scary
1115,"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",porcini mushroom pasta special,explicit,FOOD QUALITY,negative,tasteless
1116,"The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",seafood tagliatelle,explicit,FOOD QUALITY,negative,tasteless
1117,We took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal,explicit,FOOD QUALITY,positive,worth
1118,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty .,restaurant,explicit,LOCATION GENERAL,positive,beautiful
1119,"Even if the food wasn't this good , the garden is a great place to sit outside and relax .",garden,explicit,AMBIENCE GENERAL,positive,great
1120,"Even if the food wasn't this good , the garden is a great place to sit outside and relax .",food,explicit,FOOD QUALITY,positive,wasn't this good
1121,The hostess was rude and I got a distinct feeling that they did not want to serve us .,hostess,explicit,SERVICE GENERAL,negative,rude
1122,The hostess was rude and I got a distinct feeling that they did not want to serve us .,NULL,implicit,SERVICE GENERAL,negative,distinct
1123,My daughter 's wedding reception at Water 's Edge received the highest compliments from our guests .,Water 's Edge,explicit,RESTAURANT MISCELLANEOUS,positive,highest compliments
1124,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service,explicit,SERVICE GENERAL,positive,great
1125,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food,explicit,FOOD QUALITY,positive,great
1126,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food,explicit,FOOD PRICES,positive,great
1127,Delicious crab cakes too .,crab cakes,explicit,FOOD QUALITY,positive,Delicious
1128,We had a good time .,NULL,implicit,RESTAURANT GENERAL,positive,good time
1129,"The food is good , especially their more basic dishes , and the drinks are delicious .",food,explicit,FOOD QUALITY,positive,good
1130,"The food is good , especially their more basic dishes , and the drinks are delicious .",basic dishes,explicit,FOOD QUALITY,positive,good
1131,"The food is good , especially their more basic dishes , and the drinks are delicious .",drinks,explicit,DRINKS QUALITY,positive,delicious
1132,Service was also horrible and the ambience is not that great .,Service,explicit,SERVICE GENERAL,negative,horrible
1133,Service was also horrible and the ambience is not that great .,ambience,explicit,AMBIENCE GENERAL,negative,not that great
1134,"But if you 're prepared to spend some $ and remember to ask if something they offer is complimentary , then this is the place to go for Indian food",Indian food,explicit,FOOD QUALITY,positive,the place to go
1135,"But if you 're prepared to spend some $ and remember to ask if something they offer is complimentary , then this is the place to go for Indian food",place,explicit,RESTAURANT PRICES,positive,complimentary
1136,The only problem is that the manager is a complete incompetent .,manager,explicit,SERVICE GENERAL,negative,incompetent
1137,"Went here last night - nice decor , good service , but the food was surprisingly excellent .",decor,explicit,AMBIENCE GENERAL,positive,nice
1138,"Went here last night - nice decor , good service , but the food was surprisingly excellent .",service,explicit,SERVICE GENERAL,positive,good
1139,"Went here last night - nice decor , good service , but the food was surprisingly excellent .",food,explicit,FOOD QUALITY,positive,excellent
1140,"While finishing our meals which included a high-end bottle of wine , our son 's fiance joined us for a glass of wine and dessert .",bottle of wine,explicit,DRINKS QUALITY,positive,high-end
1141,I tried a couple other dishes but wasn't too impressed .,dishes,explicit,FOOD QUALITY,neutral,wasn't too impressed
1142,Great place to relax and enjoy your dinner,place,explicit,AMBIENCE GENERAL,positive,Great
1143,$ 170 down the toilet ...,NULL,implicit,RESTAURANT PRICES,negative,$ 170
1144,And amazingly cheap .,NULL,implicit,FOOD PRICES,positive,cheap
1145,Good creative rolls !,rolls,explicit,FOOD QUALITY,positive,Good creative
1146,Good creative rolls !,rolls,explicit,FOOD STYLE_OPTIONS,positive,Good creative
1147,Delivery guy sometimes get upset if you don't tip more than 10 % .,Delivery guy,explicit,SERVICE GENERAL,negative,upset
1148,I have been going back again and again .,NULL,implicit,RESTAURANT GENERAL,positive,going back again and again
1149,"A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .",server,explicit,SERVICE GENERAL,negative,enhanced
1150,"A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .",appetizer,explicit,FOOD QUALITY,positive,delicious
1151,"We liked it so much , that we will always make it a point to dine here when we visit New York .",NULL,implicit,RESTAURANT GENERAL,positive,liked
1152,"Most of the servers are very attentive , friendly and quite attractive .",servers,explicit,SERVICE GENERAL,positive,attentive
1153,"Most of the servers are very attentive , friendly and quite attractive .",servers,explicit,SERVICE GENERAL,positive,friendly
1154,"Most of the servers are very attentive , friendly and quite attractive .",servers,explicit,SERVICE GENERAL,positive,attractive
1155,it's the only place you can get yummy authentic japanese comfort food .,japanese comfort food,explicit,FOOD QUALITY,positive,yummy authentic
1156,We never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating .,NULL,implicit,SERVICE GENERAL,negative,upset
1157,"As many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",NULL,implicit,SERVICE GENERAL,neutral,slow
1158,"Yes , the prices are high , but I felt it was worth it .",NULL,implicit,RESTAURANT PRICES,negative,high
1159,"Yes , the prices are high , but I felt it was worth it .",NULL,implicit,RESTAURANT GENERAL,positive,worth
1160,Love YUKA .,YUKA,explicit,RESTAURANT GENERAL,positive,Love
1161,Over all the looks of the place exceeds the actual meals .,looks,explicit,AMBIENCE GENERAL,positive,exceeds
1162,You ca n't go wrong with this place .,place,explicit,RESTAURANT GENERAL,positive,ca n't go wrong
1163,"i 've been to sapphire twice and both times the food was fine , if not good .",food,explicit,FOOD QUALITY,positive,fine
1164,"They are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",service,explicit,SERVICE GENERAL,negative,horrible
1165,"They are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",drinks,explicit,DRINKS PRICES,negative,over $ 500
1166,"They are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",pita bread,explicit,FOOD PRICES,negative,over $ 500
1167,"They are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",NULL,implicit,SERVICE GENERAL,negative,rude
1168,I loved everythig about it-especially the shows and actors .,shows,explicit,AMBIENCE GENERAL,positive,loved
1169,I loved everythig about it-especially the shows and actors .,actors,explicit,AMBIENCE GENERAL,positive,loved
1170,I highly recommend to anyone to give this place a try .,place,explicit,RESTAURANT GENERAL,positive,recommend
1171,This is a fun restaurant to go to .,restaurant,explicit,RESTAURANT GENERAL,positive,fun
1172,A guaranteeed delight !,NULL,implicit,RESTAURANT GENERAL,positive,delight
1173,We were very pleasantly surprised .,NULL,implicit,RESTAURANT GENERAL,positive,pleasantly surprised
1174,"Conveniently located too , being right on Bedford ave .",NULL,implicit,LOCATION GENERAL,positive,Conveniently
1175,"However , it is jus too good to not praise it .",NULL,implicit,RESTAURANT GENERAL,positive,good
1176,"However , it is jus too good to not praise it .",NULL,implicit,RESTAURANT GENERAL,positive,praise
1177,The service was excellent - friendly and attentive .,service,explicit,SERVICE GENERAL,positive,excellent
1178,The service was excellent - friendly and attentive .,service,explicit,SERVICE GENERAL,positive,friendly
1179,The service was excellent - friendly and attentive .,service,explicit,SERVICE GENERAL,positive,attentive
1180,"We have been to this place many times , and always have great food , wine , and service .",food,explicit,FOOD QUALITY,positive,great
1181,"We have been to this place many times , and always have great food , wine , and service .",wine,explicit,DRINKS QUALITY,positive,great
1182,"We have been to this place many times , and always have great food , wine , and service .",service,explicit,SERVICE GENERAL,positive,great
1183,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,meals,explicit,FOOD QUALITY,negative,edible
1184,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,rosemary or orange flavoring,explicit,FOOD QUALITY,negative,weird
1185,This place is not inviting and the food is totally weird .,place,explicit,AMBIENCE GENERAL,negative,not inviting
1186,This place is not inviting and the food is totally weird .,food,explicit,FOOD QUALITY,negative,weird
1187,HIGHLY RECOMMENDED ! ! ! ! !,NULL,implicit,RESTAURANT GENERAL,positive,RECOMMENDED
1188,Their tuna tartar appetizer is to die for .,tuna tartar appetizer,explicit,FOOD QUALITY,positive,die for
1189,keep up the good work .,NULL,implicit,RESTAURANT GENERAL,positive,good
1190,Not enough wines by the glass either .,wines by the glass,explicit,DRINKS STYLE_OPTIONS,negative,Not enough
1191,The seats are uncomfortable if you are sitting against the wall on wooden benches .,seats,explicit,AMBIENCE GENERAL,negative,uncomfortable
1192,"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience,explicit,AMBIENCE GENERAL,positive,pretty
1193,"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience,explicit,AMBIENCE GENERAL,positive,nice
1194,"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",NULL,implicit,RESTAURANT MISCELLANEOUS,positive,best
1195,So rushing us out was absolutely unnecessary !,NULL,implicit,SERVICE GENERAL,negative,rushing us out
1196,"For desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .",frozen black sesame mousse,explicit,FOOD QUALITY,neutral,interesting
1197,"For desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .",frozen black sesame mousse,explicit,FOOD QUALITY,neutral,not extraordinary
